text_id,prompt_id,genre,theme,model_family,model_name,provider,temperature,max_tokens,date_generated,clean_output_text,clean_word_count,stylo_word_count,stylo_character_count,stylo_sentence_count,stylo_avg_word_length,stylo_avg_sentence_length,stylo_sentence_length_std,stylo_sentence_length_min,stylo_sentence_length_max,stylo_sentence_length_range,stylo_short_sentence_ratio,stylo_long_sentence_ratio,stylo_punctuation_count,stylo_comma_count,stylo_period_count,stylo_question_mark_count,stylo_exclamation_count,stylo_semicolon_count,stylo_colon_count,stylo_dash_count,stylo_quote_count,stylo_uppercase_word_count,stylo_titlecase_word_count,stylo_uppercase_char_ratio,stylo_type_token_ratio,stylo_hapax_legomena_ratio,stylo_repeated_word_ratio,stylo_yules_k,stylo_simpson_diversity,stylo_honores_r,stylo_mattr_50,stylo_function_word_count,stylo_function_word_ratio,stylo_ai_marker_count,stylo_ai_marker_ratio,stylo_transition_marker_count,stylo_transition_marker_ratio,stylo_hedging_marker_count,stylo_hedging_marker_ratio,stylo_punctuation_per_100_words,stylo_comma_per_100_words,stylo_period_per_100_words,stylo_flesch_reading_ease,stylo_gunning_fog
GPT_gpt-4o-mini_NAR_001,NAR_001,Narrative,academic,GPT,gpt-4o-mini,OpenAI,0.7,450,2026-06-24T15:26:04,"As the sun dipped below the horizon, casting a warm glow over his cluttered desk, Alex stared at the lines of code on his laptop. He had embarked on a daunting NLP project for his final year in data science, tasked with analyzing the writing styles of various authors. The challenge loomed large, but excitement coursed through him. Days turned into nights as he meticulously gathered datasets, diving deep into the realms of syntax, semantics, and style.

Initially, the task felt insurmountable, and he struggled to find a pattern. However, as he applied different algorithms and fine-tuned his models, something remarkable began to emerge. He noted subtle differences in sentence structure and vocabulary choices. It was as if each author’s essence was intricately woven into their words, a unique fingerprint. With every iteration, Alex became more adept at identifying these nuanced styles.

One evening, while reviewing his findings, he stumbled upon a peculiar trend: the generated text from a large language model mimicked the style of various authors startlingly well. Fascinated, he delved deeper, experimenting with prompts and observing how the model adopted traits from its training data. Through this journey, Alex not only honed his technical skills but also discovered the profound intersection of technology and artistry, igniting a passion for the written word.",217,217,1379,12,5.202764976958525,18.083333333333332,6.383028713358225,9,28,19,0.16666666666666666,0.25,33,19,12,0,0,0,1,1,0,1,15,0.015943312666076175,0.7142857142857143,0.5944700460829493,0.16774193548387098,76.02624816836203,0.9923621778460489,3207.2464992260434,0.8894047619047618,84,0.3870967741935484,2,0.009216589861751152,2,0.009216589861751152,0,0.0,15.207373271889402,8.755760368663594,5.529953917050691,39.9430894777266,14.422273425499231
GPT_gpt-4o-mini_NAR_002,NAR_002,Narrative,academic,GPT,gpt-4o-mini,OpenAI,0.7,450,2026-06-24T15:26:12,"Sophia stared at the long list of project topics, each more daunting than the last. As a junior in high school, the pressure to excel was palpable, but the weight of expectations often left her overwhelmed. Finally, she settled on the easiest option: a simple poster about local wildlife. As she gathered her materials, however, an idea sparked in her mind. Why not elevate the project beyond its surface simplicity? Instead of just presenting facts and pictures, she could weave a narrative that highlighted the interconnectedness of the local ecosystem. 

With renewed vigor, Sophia dove into research, exploring how each animal relied on others for survival. She discovered fascinating relationships, like the symbiotic bond between bees and flowers. Inspired, she decided to create an interactive component for her project: a three-dimensional model of the local habitat, showcasing these connections in a tangible way. As she crafted her poster, she infused it with stories of the creatures that inhabited her town, drawing parallels to human experiences. 

On presentation day, Sophia stood in front of her peers, her heart pounding but filled with pride. Her project transformed from an easy task into a profound exploration of nature’s complexities, illustrating that even the simplest choices can lead to remarkable discoveries.",209,209,1337,12,5.23444976076555,17.416666666666668,5.361255035488943,9,26,17,0.08333333333333333,0.16666666666666666,32,17,11,1,0,0,2,1,0,0,14,0.012797074954296161,0.6842105263157895,0.583732057416268,0.14685314685314685,96.6095098555436,0.9902926021347074,3637.8752287188945,0.8731249999999999,82,0.3923444976076555,0,0.0,3,0.014354066985645933,2,0.009569377990430622,15.311004784688995,8.133971291866029,5.263157894736842,42.220241228070165,15.00494417862839
GPT_gpt-4o-mini_NAR_003,NAR_003,Narrative,academic,GPT,gpt-4o-mini,OpenAI,0.7,450,2026-06-24T15:26:19,"Dr. Elara Grant spent countless hours meticulously curating a dataset of writing prompts, each designed to spark creativity in her students. The prompts ranged from whimsical to profound, asking questions like, ""What would you do if you could fly for a day?"" to ""Describe a moment that changed your life."" As she analyzed the responses, an unexpected pattern emerged: each prompt seemed to unveil a fragment of the respondent's inner world.

One student, Mira, wrote passionately about flying, revealing her deep-seated desire for freedom from her family's expectations. In contrast, Alex’s response to the life-changing moment prompt was a stark recounting of loss, hinting at a painful past that shaped his present. Elara became fascinated with how these seemingly simple prompts acted as mirrors, reflecting the writers' fears, desires, and dreams. 

As she compiled the results, Elara realized her dataset was more than a collection of responses; it was a tapestry of human experience. Each entry pulsed with emotion and authenticity, allowing her to glimpse the diverse lives woven into the fabric of academia. This revelation ignited a new passion within her, as she endeavored to explore the delicate interplay between creativity and self-discovery in her future research.",204,204,1279,9,5.098039215686274,22.666666666666668,12.156388352540313,1,51,50,0.1111111111111111,0.3333333333333333,38,15,10,1,0,1,1,3,7,0,16,0.015384615384615385,0.6911764705882353,0.5686274509803921,0.1773049645390071,81.69934640522877,0.9917898193760263,2999.419676528137,0.8740645161290322,75,0.36764705882352944,1,0.004901960784313725,0,0.0,2,0.00980392156862745,18.627450980392158,7.352941176470589,4.901960784313726,38.266568627450994,17.105882352941176
GPT_gpt-4o-mini_NAR_004,NAR_004,Narrative,academic,GPT,gpt-4o-mini,OpenAI,0.7,450,2026-06-24T15:26:23,"As the clock ticked ominously toward midnight, Sarah sat at her cluttered desk, the glow of her laptop illuminating her tired eyes. With a deadline looming for her linguistics paper, she felt the weight of her procrastination pressing down on her shoulders. Desperate for fresh insights, she decided to consult various language models, hoping to gather a range of perspectives on her topic. She first typed her question into one model, its polished response appearing almost instantaneously. Impressed, she noted its clarity and depth but felt something was missing—a personal touch.

With a sigh of determination, she opened another platform, curious to see how it would differ. This response was more conversational, brimming with nuances, yet it lacked the precision she craved. Frustrated but intrigued, she toggled between models, jotting down key phrases and ideas, weaving them into her own voice. The night deepened, and her coffee grew cold, but a sense of exhilaration replaced her earlier anxiety. Each model offered a unique lens, and as she synthesized their responses, she realized she was not just gathering information—she was engaging in a dialogue. At last, with her paper taking shape, she felt a surge of satisfaction, ready to meet the dawn with a completed project.",207,207,1287,11,5.06280193236715,18.818181818181817,3.588318973816464,14,26,12,0.0,0.09090909090909091,32,21,11,0,0,0,0,2,0,0,12,0.011450381679389313,0.6666666666666666,0.5555555555555556,0.16666666666666666,113.88830544470116,0.9885558838703625,3199.631275959222,0.8407594936708861,85,0.4106280193236715,0,0.0,1,0.004830917874396135,0,0.0,15.458937198067632,10.144927536231885,5.314009661835748,46.73454545454547,14.290557751427315
GPT_gpt-4o-mini_NAR_005,NAR_005,Narrative,academic,GPT,gpt-4o-mini,OpenAI,0.7,450,2026-06-24T15:26:27,"As the late autumn sun filtered through the dusty windows of the university lab, Emma hunched over her computer, the glow of the screen reflecting her anticipation. She was knee-deep in her thesis, focused on analyzing LLM-generated text for her linguistic research. Hours slipped by as she ran algorithms to visualize the text data, her eyes scanning the clusters that formed in the digital space. 

Suddenly, a set of unexpected clusters emerged, vibrant and intricate, unlike anything she had anticipated. Each cluster represented a unique narrative style, revealing patterns of creativity that seemed almost sentient. Emma leaned closer, her heart racing. It was as if the LLM had developed its own voice, echoing the complexities of human thought and emotion. 

She marveled at the unexpected themes surfacing: love, loss, ambition, and absurdity. They were familiar yet foreign, like echoes of forgotten stories. Excitement surged through her as she realized the implications of her discovery. This was more than an academic exercise; it was a glimpse into the evolving relationship between human and machine. Emma felt a profound connection to her work, recognizing that these clusters were not mere data points but reflections of the human condition, inviting her to explore the intricate dance of language anew.",208,208,1320,12,5.1875,17.333333333333332,7.2264944628929335,6,33,27,0.16666666666666666,0.16666666666666666,32,16,12,0,0,1,1,2,0,2,13,0.017608897126969416,0.6778846153846154,0.5673076923076923,0.16312056737588654,113.25813609467457,0.9886194723151245,3272.142909729938,0.8684276729559749,84,0.40384615384615385,2,0.009615384615384616,0,0.0,1,0.004807692307692308,15.384615384615385,7.6923076923076925,5.769230769230769,40.37820512820514,15.779487179487177
GPT_gpt-4o-mini_NAR_006,NAR_006,Narrative,academic,GPT,gpt-4o-mini,OpenAI,0.7,450,2026-06-24T15:26:32,"As the semester began, Maya found herself assigned a stylometric project in her introductory literature class. The task seemed straightforward: analyze a few poems and identify patterns in word choice and sentence structure. However, Maya, fueled by her passion for poetry and linguistics, saw potential beyond the assignment's surface. She meticulously examined the works of lesser-known poets, uncovering subtle nuances that hinted at deeper themes of identity and emotion.

One evening, while poring over her notes, an idea sparked. What if she could analyze a broader range of poets across different eras? She envisioned a comparative study that would not only focus on style but also on historical context, exploring how language reflected societal changes. Maya spent countless nights in the library, diving into archives, gathering data, and refining her thesis. 

By the end of the semester, her project had evolved into an ambitious research proposal worthy of a master’s thesis. She presented her findings at a student conference, captivating her audience with the interplay of language and culture. Faculty members were impressed, encouraging her to publish her work. Maya's simple assignment had transformed into a significant academic pursuit, marking the beginning of her journey into the world of literary research.",205,205,1330,12,5.341463414634147,17.083333333333332,4.2906552206186666,10,23,13,0.16666666666666666,0.0,31,15,11,1,0,0,1,1,2,0,14,0.012785388127853882,0.6926829268292682,0.5756097560975609,0.16901408450704225,91.37418203450328,0.9908177905308465,3149.447570990225,0.8751282051282052,75,0.36585365853658536,2,0.00975609756097561,2,0.00975609756097561,2,0.00975609756097561,15.121951219512194,7.317073170731707,5.365853658536586,35.97736788617888,16.00406504065041
GPT_gpt-4o-mini_NAR_007,NAR_007,Narrative,academic,GPT,gpt-4o-mini,OpenAI,0.7,450,2026-06-24T15:26:36,"Emily sat in her cramped dorm room, the glow of her laptop screen illuminating her determined face. As a linguistics student, she was on a mission to explore the nuances of human-written texts compared to the increasingly sophisticated outputs of machine-generated writing. With the rise of artificial intelligence, she found herself questioning the essence of creativity and authenticity in language. 

She opened her browser and typed “human-written datasets” into the search bar, her fingers dancing over the keys with anticipation. After sifting through pages of academic papers and obscure forums, she stumbled upon a treasure trove of resources housed in a digital library. Emily’s heart raced as she clicked through the links, her eyes scanning descriptions of datasets filled with essays, poems, and stories penned by real authors.

Each dataset offered a glimpse into diverse writing styles and voices, showcasing the intricate tapestry of human thought and emotion. She meticulously noted down the ones that piqued her interest. As she collected these datasets, she envisioned her project taking shape: a comparative analysis of emotional depth in human writing versus the clinical precision of AI-generated content. The quest was not just academic; it was a reflection of her own beliefs about the power of human expression—a journey she was eager to embark upon.",218,218,1374,10,5.18348623853211,21.8,5.509990925582364,10,28,18,0.1,0.4,26,10,10,0,0,1,1,5,2,1,10,0.010619469026548672,0.6376146788990825,0.5412844036697247,0.1510791366906475,132.5645989394832,0.9866824504291211,3564.022922512779,0.8312426035502958,88,0.4036697247706422,3,0.013761467889908258,0,0.0,0,0.0,11.926605504587156,4.587155963302752,4.587155963302752,33.359376146789,16.609908256880736
GPT_gpt-4o-mini_NAR_008,NAR_008,Narrative,academic,GPT,gpt-4o-mini,OpenAI,0.7,450,2026-06-24T15:26:40,"As the semester progressed, Mia found herself overwhelmed by the relentless demands of her coursework. In an attempt to regain control, she decided to create a prompt bank, a collection of thought-provoking questions and themes that she encountered in her studies. Each day, she meticulously added to this growing repository, drawing from lectures, readings, and even her personal reflections. Initially, the prompts served as a tool for inspiration, helping her navigate essays and projects with newfound clarity. 

However, as she sifted through her entries, Mia began to notice patterns in her thought processes. Certain themes, like the struggle for identity and the quest for knowledge, appeared repeatedly. These motifs revealed not just her academic focuses but also her intrinsic concerns and aspirations. For the first time, Mia understood how her studies intertwined with her personal development. The prompt bank transformed from a simple compilation into a mirror reflecting her intellectual evolution. 

With each new prompt, she deepened her self-awareness, recognizing how her experiences shaped her understanding of the world. By the end of the term, Mia had not only improved her academic performance but also cultivated a richer relationship with her own thoughts, allowing her to approach challenges with greater confidence and clarity.",205,205,1355,11,5.453658536585366,18.636363636363637,6.004130809439406,14,34,20,0.0,0.18181818181818182,31,18,11,0,0,0,0,2,0,0,15,0.013416815742397137,0.6292682926829268,0.4975609756097561,0.20930232558139536,134.2058298631767,0.9865136298421808,2543.2158789216837,0.8261538461538461,87,0.424390243902439,1,0.004878048780487805,2,0.00975609756097561,1,0.004878048780487805,15.121951219512194,8.780487804878048,5.365853658536586,35.639090909090925,17.405764966740577
GPT_gpt-4o-mini_NAR_009,NAR_009,Narrative,academic,GPT,gpt-4o-mini,OpenAI,0.7,450,2026-06-24T15:26:44,"In a dimly lit lab, Dr. Elena Marsh stared at her computer screen, a sense of pride swelling within her. She had spent years developing a classifier capable of identifying which large language model (LLM) had generated a given text. The idea seemed far-fetched at first, almost whimsical, but her relentless dedication had transformed it into reality. With a few keystrokes, she fed the classifier a passage of text that she knew was produced by her own latest LLM, Aether. The screen flashed, the algorithm whirring to life, and within moments, it displayed its conclusion: ""Text generated by Aether."" A grin spread across her face, but her excitement was short-lived. 

On a whim, she decided to test it against other LLMs, including those from competitors. Each time, the classifier pinpointed the source with uncanny accuracy. However, when she fed it a passage from a newly released model that had just hit the market, the classifier hesitated, then returned an unexpected result. It identified the text as a blend of multiple LLMs, a revelation that caught Elena completely off guard. The implications were profound; her creation had not only identified authorship but had also unveiled the emerging trend of collaborative AI writing. The world of LLMs would never be the same.",212,212,1283,12,4.877358490566038,17.666666666666668,7.015855059949728,6,31,25,0.25,0.16666666666666666,38,17,13,0,0,1,1,2,2,3,19,0.03481624758220503,0.6462264150943396,0.5141509433962265,0.20437956204379562,112.13955144179423,0.9887328981489761,2620.901141535949,0.8369325153374232,86,0.4056603773584906,0,0.0,3,0.014150943396226415,1,0.0047169811320754715,17.92452830188679,8.018867924528301,6.132075471698113,49.63257861635222,14.802515723270444
GPT_gpt-4o-mini_NAR_010,NAR_010,Narrative,academic,GPT,gpt-4o-mini,OpenAI,0.7,450,2026-06-24T15:26:49,"The dim light of the library flickered as Mia hunched over her laptop, surrounded by a sea of books on linguistics and artificial intelligence. Her final presentation was looming, and the topic—whether machines could possess distinct writing styles—had her both intrigued and anxious. As she typed, the rhythmic clacking of the keyboard punctuated the silence, each keystroke echoing her thoughts. She pondered the nuances of human writing: the way a poet infused emotion into every line, or how a novelist crafted characters with unique voices. Could a machine replicate such depth?

Mia recalled her recent experiences with AI writing tools, marveling at their ability to generate essays and articles. Yet, she wondered if those outputs truly reflected a style or merely followed patterns. She decided to analyze various texts produced by different algorithms, looking for signs of individuality. As she organized her findings, her heart raced at the prospect of presenting her insights to the class. She envisioned discussing the implications of machine-generated prose in a world that valued human expression. By the time she closed her laptop, the library was nearly empty. With a sense of accomplishment, Mia felt ready to challenge her classmates’ perceptions of creativity and the evolving landscape of writing.",207,207,1319,12,5.251207729468599,17.25,5.0518148554092255,6,25,19,0.08333333333333333,0.08333333333333333,25,11,11,1,0,0,1,3,0,1,14,0.014719411223551058,0.6666666666666666,0.5700483091787439,0.14492753623188406,123.69016779854839,0.9875709394493691,3679.575967353105,0.8430379746835442,81,0.391304347826087,1,0.004830917874396135,0,0.0,2,0.00966183574879227,12.077294685990339,5.314009661835748,5.314009661835748,40.9697282608696,15.78888888888889
